PassengerId,Pclass,Sex,Age,SibSp,Parch,Survived
1,3,1,34.5,1,0,0
2,1,0,47,1,0,1
3,3,0,62,0,0,1
4,1,0,27,1,0,1
5,3,1,22,0,0,0
6,3,1,14,0,0,0
7,1,1,30,0,0,0
8,3,1,26,3,1,0
9,3,0,18,0,2,1
10,2,0,21,1,0,1
11,3,0,0,1,1,1
12,1,0,46,0,0,1
13,3,1,23,0,0,0
14,3,1,63,1,5,0
15,3,0,47,0,0,0
16,2,0,24,0,0,1
17,3,1,35,4,1,0
18,2,1,21,0,0,1
19,3,0,27,1,0,0
20,3,0,45,0,0,1
21,2,1,55,0,0,0
22,2,1,9,0,0,1
23,3,0,0,0,0,1
24,1,1,21,0,0,1
25,3,0,48,3,1,0
26,3,0,50,1,5,1
27,3,1,22,0,0,0
28,1,1,22.5,3,2,0
29,3,0,41,0,0,1
30,3,1,0,0,0,0
31,1,1,50,0,0,0
32,1,0,24,1,0,1
33,3,0,33,0,0,1
34,2,1,0,0,0,0
35,1,1,30,1,0,0
36,1,1,18.5,1,0,0
37,3,1,0,0,0,1
38,3,1,21,0,0,0
39,3,0,25,2,0,0
40,3,0,0,1,0,1
41,3,0,39,1,0,0
42,2,0,0,1,0,0
43,3,1,41,0,0,0
44,2,0,30,1,2,1
45,3,0,45,0,0,1
46,3,1,25,0,0,0
47,3,1,45,1,0,0
48,3,0,0,0,0,1
49,3,1,60,2,0,0
50,3,0,36,1,0,0
51,3,1,24,4,1,0
52,3,1,27,0,0,0
53,1,0,20,1,0,1
54,2,0,28,1,0,1
55,1,1,0,0,1,0
56,1,1,10,0,0,1
57,2,0,35,0,0,1
58,3,1,25,0,0,0
59,2,0,0,1,2,1
60,3,1,36,5,2,0
61,3,1,17,0,0,0
62,1,0,32,0,0,1
63,1,1,18,1,0,0
64,3,1,22,3,2,0
65,1,1,13,0,0,0
66,3,1,0,1,1,1
67,2,0,18,0,0,1
68,3,1,47,0,0,0
69,3,0,31,4,2,1
70,3,1,60,2,0,0
71,2,1,24,0,0,0
72,3,0,21,5,2,0
73,2,1,29,0,0,0
74,3,1,28.5,1,0,0
75,3,1,35,0,0,1
76,3,1,32.5,0,0,0
77,3,1,0,0,0,0
78,3,1,55,0,0,0
79,2,1,30,0,2,1
80,3,0,24,0,0,1
81,3,1,6,0,0,0
82,3,1,67,0,0,1
83,3,0,49,0,0,1
84,1,1,0,0,0,0
85,2,0,0,0,0,1
86,3,0,0,3,0,1
87,3,1,27,1,3,0
88,3,1,18,0,0,0
89,1,0,0,3,2,1
90,3,1,2,0,0,0
91,3,1,22,0,0,0
92,3,1,0,0,0,0
93,1,1,27,1,0,0
94,3,1,0,1,2,0
95,3,1,25,0,0,0
96,3,1,25,0,0,0
97,1,1,76,0,0,0
98,1,1,29,0,1,1
99,2,0,20,0,1,1
100,2,1,33,1,0,0
101,3,0,43,0,0,0
102,3,1,27,0,0,0
103,1,1,0,0,1,0
104,3,1,26,0,0,0
105,3,1,16,2,0,0
106,3,1,28,0,0,0
107,3,0,21,0,0,1
108,3,1,0,0,0,1
109,3,1,0,0,0,0
110,3,0,18.5,1,0,1
111,1,1,41,0,0,0
112,3,0,0,1,0,0
113,3,1,36,0,0,0
114,3,0,18.5,1,0,0
115,3,0,63,0,0,0
116,3,1,18,0,0,0
117,3,1,0,0,0,0
118,2,1,1,1,0,0
119,1,1,36,0,1,0
120,3,0,29,4,2,0
121,2,1,12,2,0,0
122,3,1,0,0,0,0
123,2,1,35,1,0,0
124,2,0,28,0,0,1
125,1,1,0,0,1,0
126,3,1,17,1,0,1
127,3,1,22,0,0,0
128,3,1,0,0,0,1
129,3,0,42,1,1,1
130,3,1,24,0,0,0
131,3,1,32,0,0,0
132,3,1,53,0,0,0
133,3,0,0,1,0,0
134,2,0,0,1,0,1
135,2,1,43,0,0,0
136,2,1,24,0,0,0
137,1,0,26.5,0,2,1
138,1,1,26,1,0,0
139,3,1,23,0,0,0
140,1,1,40,0,0,0
141,3,0,10,0,2,0
142,3,0,33,0,0,1
143,3,0,61,1,0,1
144,3,1,28,0,0,0
145,2,1,42,0,0,0
146,2,1,31,1,1,0
147,3,1,0,0,0,1
148,3,0,22,2,2,0
149,2,1,0,0,2,0
150,2,1,30,0,0,0
151,2,1,23,0,0,0
152,1,0,0,1,0,1
153,3,1,60.5,0,0,0
154,3,1,36,0,2,0
155,3,1,13,0,0,0
156,1,1,24,0,1,0
157,3,0,29,0,0,1
158,3,1,23,0,0,0
159,3,1,42,0,0,0
160,3,1,26,8,2,0
161,3,1,0,0,1,0
162,2,0,7,0,0,1
163,3,1,26,0,0,0
164,3,1,0,0,0,0
165,3,1,41,4,1,0
166,3,1,26,0,2,1
167,1,0,48,0,1,1
168,3,0,18,1,4,0
169,1,1,0,0,0,0
170,3,1,22,0,0,0
171,1,1,0,0,0,0
172,3,1,27,4,1,0
173,3,0,23,1,1,1
174,3,1,0,0,0,0
175,1,1,40,0,0,0
176,3,1,15,1,1,0
177,3,1,20,3,1,0
178,1,0,54,0,0,0
179,2,1,36,0,0,0
180,3,1,64,0,0,0
