Score,Accepted
39.6,0
46.3,0
28.4,0
46.4,0
32.4,0
62.5,0
95.5,1
58.0,0
49.8,0
31.7,0
47.9,0
67.2,0
66.1,0
38.3,0
28.1,0
77.7,0
81.6,0
3.5,0
24.7,0
23.6,0
51.1,0
99.3,1
1.1,0
99.9,1
92.5,1
58.6,0
48.8,0
84.8,1
48.9,0
36.4,0
17.1,0
26.9,0
34.4,0
57.1,0
39.2,0
62.4,0
76.6,0
51.3,0
10.7,0
52.4,0
48.4,0
88.4,1
88.8,1
35.3,0
31.8,0
80.8,0
78.0,0
77.1,0
22.9,0
79.9,0
87.5,1
13.1,0
30.2,0
31.8,0
95.2,1
99.3,1
73.7,0
58.6,0
16.0,0
2.7,0
40.6,0
11.5,0
88.3,1
24.5,0
43.5,0
83.4,1
74.2,0
44.9,0
29.2,0
2.3,0
34.8,0
96.1,1
60.2,0
61.4,0
33.2,0
67.1,0
63.9,0
17.1,0
5.6,0
40.7,0
5.5,0
44.6,0
45.0,0
54.9,0
69.2,0
94.1,1
60.9,0
67.8,0
90.2,1
39.2,0
43.9,0
44.0,0
92.3,1
69.2,0
83.9,1
38.5,0
68.8,0
6.5,0
66.0,0
44.8,0
93.7,1
81.0,0
86.7,1
60.5,0
40.5,0
82.6,0
54.5,0
79.1,0
34.8,0
41.8,0
43.9,0
23.6,0
69.8,0
51.1,0
40.4,0
82.1,0
45.1,0
84.6,1
84.2,1
85.6,1
98.1,1
55.7,0
40.1,0
3.8,0
3.0,0
21.8,0
70.0,0
79.5,0
26.3,0
54.1,0
5.0,0
53.8,0
57.3,0
76.7,0
13.2,0
28.7,0
90.8,1
90.1,1
57.9,0
88.4,1
79.1,0
78.7,0
83.5,1
45.2,0
89.2,1
70.0,0
98.0,1
52.1,0
39.4,0
49.1,0
5.0,0
50.0,0
23.8,0
84.1,1
83.5,1
16.8,0
61.4,0
95.0,1
71.9,0
13.2,0
1.6,0
64.6,0
59.8,0
31.6,0
35.3,0
3.3,0
63.9,0
22.5,0
50.9,0
0.8,0
65.0,0
0.1,0
84.9,1
4.8,0
69.8,0
97.6,1
19.3,0
33.6,0
89.8,1
80.6,0
6.8,0
42.7,0
65.3,0
22.2,0
76.1,0
50.1,0
83.7,1
11.6,0
78.7,0
79.3,0
17.4,0
25.9,0
59.7,0
39.6,0
58.4,0
53.3,0
63.8,0
78.0,0
29.2,0
17.4,0
62.7,0
99.9,1
5.3,0
27.8,0
27.1,0
46.7,0
86.0,1
87.1,1
83.7,1
78.9,0
49.7,0
73.3,0
28.4,0
78.0,0
48.3,0
13.4,0
68.9,0
53.1,0
64.2,0
80.1,0
57.4,0
19.6,0
31.6,0
47.1,0
13.8,0
68.9,0
75.4,0
73.1,0
53.0,0
63.8,0
8.1,0
4.2,0
44.7,0
69.0,0
14.0,0
99.9,1
66.6,0
40.2,0
12.4,0
43.0,0
50.7,0
37.9,0
37.4,0
92.1,1
33.4,0
52.5,0
5.8,0
2.3,0
4.1,0
78.0,0
15.6,0
77.4,0
87.0,1
69.7,0
14.1,0
60.5,0
68.4,0
56.2,0
55.3,0
62.6,0
25.1,0
75.8,0
50.4,0
8.3,0
91.5,1
23.7,0
70.2,0
51.8,0
92.7,1
6.9,0
86.4,1
37.3,0
44.6,0
4.1,0
78.9,0
65.4,0
86.4,1
12.0,0
4.3,0
53.1,0
40.6,0
15.2,0
63.6,0
51.1,0
72.3,0
31.7,0
78.5,0
76.9,0
10.9,0
47.4,0
85.0,1
15.4,0
93.4,1
98.9,1
89.8,1
42.6,0
87.6,1
13.9,0
29.9,0
29.6,0
81.7,0
98.0,1
74.8,0
75.9,0
57.1,0
5.8,0
22.4,0
1.0,0
58.2,0
34.2,0
17.0,0
79.2,0
10.2,0
82.7,0
13.2,0
27.6,0
72.2,0
87.5,1
30.0,0
32.0,0
3.1,0
15.7,0
98.2,1
61.6,0
31.8,0
10.0,0
65.8,0
37.3,0
92.7,1
74.1,0
57.7,0
75.6,0
1.7,0
16.1,0
94.4,1
8.6,0
11.8,0
72.3,0
11.8,0
26.7,0
88.7,1
98.8,1
48.9,0
77.7,0
34.6,0
78.0,0
41.3,0
42.8,0
58.4,0
79.4,0
69.1,0
48.9,0
92.1,1
54.1,0
9.4,0
83.8,1
37.6,0
92.6,1
68.9,0
37.2,0
75.1,0
61.3,0
23.7,0
75.1,0
65.1,0
44.5,0
45.9,0
71.1,0
88.0,1
82.3,0
12.6,0
18.9,0
14.4,0
14.6,0
93.1,1
30.0,0
29.8,0
61.1,0
34.2,0
10.8,0
61.4,0
89.4,1
6.0,0
67.7,0
39.2,0
44.0,0
66.3,0
52.8,0
87.7,1
15.0,0
97.7,1
79.8,0
47.0,0
13.0,0
5.4,0
67.3,0
65.4,0
15.7,0
27.8,0
26.4,0
29.3,0
21.1,0
36.9,0
31.9,0
23.6,0
0.1,0
30.8,0
80.2,0
94.0,1
76.1,0
75.1,0
66.7,0
60.9,0
5.7,0
9.5,0
32.4,0
60.3,0
33.2,0
14.0,0
3.8,0
39.8,0
28.9,0
76.3,0
11.4,0
89.6,1
62.8,0
44.7,0
41.0,0
61.4,0
18.9,0
99.3,1
54.1,0
67.1,0
54.5,0
96.2,1
24.2,0
56.0,0
54.5,0
60.2,0
88.8,1
1.4,0
15.2,0
71.2,0
26.5,0
10.3,0
30.8,0
22.2,0
96.3,1
42.0,0
21.9,0
76.5,0
26.3,0
56.0,0
43.8,0
31.3,0
52.3,0
90.7,1
1.4,0
58.0,0
25.1,0
50.9,0
66.5,0
66.1,0
19.1,0
23.0,0
33.8,0
47.8,0
28.0,0
21.5,0
53.9,0
80.9,0
2.4,0
50.4,0
49.1,0
0.4,0
46.2,0
62.7,0
90.7,1
67.9,0
79.1,0
15.3,0
91.4,1
32.5,0
71.5,0
30.2,0
42.7,0
10.1,0
68.0,0
41.3,0
7.1,0
27.3,0
39.8,0
74.4,0
31.3,0
8.2,0
16.7,0
59.5,0
85.3,1
16.1,0
35.9,0
92.1,1
62.5,0
23.9,0
46.9,0
38.7,0
94.0,1
99.7,1
17.7,0
15.1,0
59.5,0
18.9,0
25.3,0
74.7,0
38.5,0
34.6,0
98.8,1
90.6,1
40.9,0
13.9,0
35.7,0
82.3,0
86.9,1
84.9,1
76.4,0
92.8,1
77.3,0
47.1,0
12.2,0
55.3,0
8.6,0
15.8,0
93.9,1
60.5,0
22.6,0
47.5,0
40.3,0
74.6,0
97.6,1
72.4,0
20.8,0
38.6,0
79.0,0
52.7,0
76.1,0
68.3,0
69.4,0
53.5,0
99.2,1
69.1,0
92.0,1
73.2,0
9.2,0
98.6,1
14.9,0
26.5,0
22.1,0
3.7,0
8.4,0
12.6,0
16.7,0
90.9,1
42.9,0
22.1,0
49.9,0
54.0,0
78.9,0
60.8,0
26.9,0
90.9,1
86.2,1
11.3,0
61.1,0
21.4,0
48.2,0
87.3,1
71.7,0
38.6,0
13.3,0
26.2,0
37.9,0
78.4,0
69.2,0
50.6,0
52.4,0
40.7,0
51.8,0
85.7,1
76.0,0
11.7,0
76.5,0
64.2,0
42.3,0
47.4,0
33.1,0
83.5,1
89.8,1
58.6,0
13.8,0
88.0,1
55.0,0
79.9,0
51.5,0
19.5,0
1.3,0
53.5,0
78.8,0
87.0,1
79.4,0
90.6,1
47.3,0
99.0,1
82.5,0
14.8,0
13.5,0
98.8,1
63.3,0
68.0,0
30.9,0
62.0,0
71.8,0
39.1,0
52.6,0
82.4,0
37.3,0
79.4,0
44.2,0
4.9,0
90.8,1
58.3,0
87.2,1
11.2,0
16.9,0
74.8,0
28.4,0
80.9,0
32.6,0
48.3,0
47.7,0
33.8,0
32.0,0
15.7,0
23.6,0
87.7,1
49.7,0
6.5,0
3.1,0
96.2,1
28.1,0
98.1,1
18.6,0
17.9,0
73.9,0
84.2,1
30.0,0
47.3,0
41.7,0
69.0,0
40.2,0
57.3,0
43.4,0
13.6,0
59.5,0
53.3,0
2.8,0
83.6,1
77.1,0
46.2,0
16.2,0
93.6,1
30.3,0
17.3,0
56.8,0
32.3,0
91.0,1
25.5,0
8.1,0
80.0,0
97.4,1
30.7,0
86.0,1
74.0,0
88.7,1
72.9,0
67.8,0
96.9,1
76.2,0
57.5,0
46.2,0
20.8,0
83.4,1
88.6,1
95.5,1
5.1,0
32.9,0
66.1,0
76.6,0
51.4,0
88.9,1
59.5,0
62.7,0
67.8,0
26.6,0
32.2,0
76.6,0
92.1,1
70.9,0
7.0,0
10.2,0
5.6,0
24.2,0
60.7,0
23.4,0
19.2,0
51.3,0
83.9,1
94.7,1
43.8,0
26.2,0
91.9,1
81.1,0
18.2,0
83.6,1
9.2,0
22.8,0
79.1,0
55.7,0
84.9,1
8.6,0
84.8,1
51.5,0
60.9,0
45.1,0
33.2,0
45.7,0
92.4,1
91.7,1
58.7,0
51.6,0
97.3,1
62.0,0
34.2,0
7.5,0
8.5,0
53.7,0
40.2,0
24.8,0
26.8,0
2.5,0
57.6,0
4.4,0
49.4,0
47.0,0
64.5,0
29.9,0
73.0,0
26.2,0
10.3,0
96.4,1
30.5,0
63.2,0
84.7,1
12.9,0
49.1,0
97.3,1
81.8,0
25.4,0
59.0,0
79.2,0
15.0,0
7.1,0
79.9,0
86.1,1
32.8,0
12.6,0
11.5,0
74.1,0
47.8,0
0.2,0
49.7,0
77.4,0
75.0,0
76.1,0
76.7,0
55.0,0
71.8,0
45.5,0
92.3,1
60.1,0
12.7,0
68.5,0
81.3,0
19.9,0
63.9,0
59.5,0
42.5,0
90.5,1
69.4,0
80.8,0
30.2,0
21.6,0
54.2,0
13.0,0
71.1,0
9.4,0
22.1,0
9.8,0
17.7,0
87.9,1
27.8,0
79.3,0
83.6,1
83.9,1
16.0,0
43.2,0
57.2,0
48.3,0
29.3,0
71.2,0
32.2,0
14.4,0
13.9,0
85.6,1
68.1,0
40.6,0
86.0,1
34.8,0
59.8,0
21.3,0
34.8,0
35.9,0
93.1,1
82.4,0
8.0,0
35.2,0
80.5,0
0.3,0
31.8,0
76.6,0
70.2,0
66.0,0
63.3,0
78.2,0
68.6,0
58.7,0
70.2,0
46.5,0
70.5,0
62.9,0
68.2,0
72.4,0
42.8,0
53.5,0
90.4,1
