Temperature,Melted
1443.2,0
1549.2,0
4380.3,1
4414.7,1
879.3,0
208.1,0
1288.6,0
904.9,0
4482.7,1
2095.7,0
667.2,0
1900.1,0
3068.0,0
3595.0,1
4757.8,1
2478.2,0
4340.6,1
3895.8,1
2278.5,0
1308.5,0
1405.6,0
3228.7,0
1456.4,0
4989.3,1
3919.0,1
1932.0,0
1429.8,0
2065.3,0
242.6,0
3536.4,1
2708.9,0
4230.9,1
1859.1,0
2263.7,0
1042.7,0
3342.3,0
2169.7,0
4436.5,1
1710.9,0
4785.2,1
4729.1,1
3604.6,1
259.1,0
4247.7,1
1546.8,0
1942.5,0
2777.3,0
582.0,0
4786.0,1
2939.4,0
3084.1,0
1806.9,0
2877.1,0
3995.9,1
3118.3,0
4447.4,1
1942.9,0
456.6,0
4308.3,1
2588.3,0
1564.3,0
4342.7,1
2407.9,0
286.2,0
4513.0,1
2939.6,0
46.8,0
2098.1,0
3292.1,0
304.2,0
4067.3,1
4823.7,1
4636.2,1
3924.6,1
2769.2,0
1677.2,0
3954.4,1
4094.2,1
3812.2,1
1937.8,0
3622.8,1
78.9,0
3508.4,1
1330.8,0
3969.6,1
3477.0,1
945.8,0
3784.8,1
3616.6,1
1291.7,0
4156.7,1
664.3,0
4275.3,1
4364.1,1
4564.4,1
557.7,0
2868.9,0
2924.5,0
3838.3,1
1269.7,0
3416.2,0
1740.4,0
3705.5,1
478.7,0
3962.0,1
2792.0,0
2352.2,0
288.4,0
2071.8,0
4610.7,1
938.4,0
1517.3,0
813.9,0
107.0,0
1363.2,0
3767.4,1
1631.1,0
678.8,0
3756.5,1
466.0,0
2151.6,0
356.1,0
654.5,0
2813.7,0
1872.4,0
4598.6,1
2760.5,0
1470.6,0
2775.3,0
2735.3,0
2877.4,0
491.9,0
3831.7,1
4261.5,1
3503.3,1
3693.3,1
1135.6,0
360.9,0
818.6,0
2153.4,0
2250.0,0
762.1,0
4027.8,1
3193.6,0
344.7,0
4026.2,1
516.4,0
4851.5,1
1102.9,0
854.7,0
3862.3,1
2359.7,0
4724.1,1
1493.9,0
3505.1,1
2846.1,0
2775.5,0
1235.5,0
4991.7,1
3080.0,0
3029.4,0
4801.3,1
1498.8,0
2073.8,0
1051.7,0
2065.9,0
3063.1,0
54.3,0
230.0,0
3041.4,0
1012.0,0
3876.0,1
1269.5,0
2541.9,0
3856.2,1
3327.7,0
1879.4,0
4073.7,1
773.8,0
4523.5,1
3953.5,1
756.1,0
2448.7,0
752.6,0
4049.1,1
781.8,0
2299.1,0
1820.7,0
3420.1,0
3882.0,1
1419.5,0
996.0,0
4847.7,1
333.8,0
3400.8,0
2693.6,0
1270.3,0
314.4,0
148.9,0
1565.6,0
544.1,0
3558.9,1
2923.4,0
4077.5,1
3336.0,0
1601.0,0
4873.8,1
820.9,0
4312.4,1
3113.4,0
2186.0,0
2732.0,0
4515.5,1
1828.0,0
4445.3,1
1043.0,0
4738.4,1
2555.9,0
2813.3,0
1474.6,0
2405.2,0
4042.6,1
2141.8,0
2164.8,0
106.6,0
1966.2,0
2449.6,0
4495.6,1
1940.5,0
4813.7,1
1942.6,0
1864.0,0
1608.6,0
2037.2,0
1742.4,0
3934.6,1
4494.5,1
2927.0,0
2182.4,0
4523.9,1
454.5,0
1122.3,0
2095.9,0
898.4,0
1040.8,0
1275.5,0
871.9,0
961.7,0
4397.3,1
2785.2,0
2742.5,0
4152.5,1
3202.3,0
4392.8,1
1437.1,0
3970.9,1
3911.7,1
3705.4,1
4166.1,1
2274.0,0
4953.1,1
1958.8,0
3050.3,0
1584.1,0
3918.4,1
257.9,0
252.7,0
1886.9,0
4376.6,1
4351.4,1
3637.6,1
752.9,0
4225.5,1
4123.1,1
1918.8,0
4504.5,1
251.8,0
905.5,0
3861.7,1
3963.6,1
2652.5,0
4667.6,1
4744.2,1
2223.0,0
3434.9,1
2570.0,0
1505.1,0
2738.0,0
4089.2,1
4249.2,1
1663.7,0
1234.5,0
3412.6,0
844.3,0
3248.9,0
4265.0,1
4860.7,1
3482.7,1
2470.8,0
3975.2,1
4938.9,1
2761.4,0
4441.2,1
932.0,0
1058.2,0
4334.9,1
1994.0,0
4057.6,1
2105.1,0
4755.0,1
1292.8,0
4068.5,1
2408.5,0
2142.8,0
4792.6,1
4436.6,1
3627.8,1
4131.9,1
3876.0,1
2828.1,0
2879.8,0
1674.4,0
4590.2,1
4071.3,1
1340.6,0
2641.3,0
3246.3,0
4846.8,1
578.6,0
2579.0,0
2343.4,0
2209.5,0
1137.3,0
4744.8,1
4970.4,1
3376.9,0
1013.0,0
4141.7,1
3387.2,0
850.6,0
575.6,0
3950.5,1
1261.8,0
3111.9,0
1411.2,0
886.1,0
4668.7,1
1710.5,0
36.6,0
4219.6,1
1885.9,0
1568.5,0
4608.9,1
3568.0,1
3080.9,0
1577.1,0
2467.9,0
1672.9,0
4966.5,1
3089.8,0
1894.0,0
2678.1,0
1001.8,0
2274.7,0
770.6,0
1711.9,0
3642.1,1
2590.4,0
1521.2,0
3141.7,0
1542.1,0
967.9,0
1241.1,0
1774.8,0
2748.8,0
1824.7,0
2106.8,0
2775.3,0
1009.7,0
1026.7,0
20.8,0
611.4,0
4150.8,1
780.7,0
2667.5,0
1338.2,0
2412.6,0
1793.0,0
4462.8,1
4028.8,1
2952.1,0
3818.0,1
1462.7,0
4571.9,1
4768.5,1
1489.8,0
2067.3,0
3846.9,1
4730.8,1
3826.1,1
3224.7,0
1137.0,0
2384.5,0
3853.6,1
1514.2,0
2086.6,0
3131.1,0
4194.9,1
2360.2,0
3097.2,0
3988.8,1
520.0,0
4452.6,1
631.4,0
188.4,0
596.4,0
4135.3,1
1830.2,0
4790.1,1
3199.4,0
640.1,0
3980.3,1
1319.7,0
4518.6,1
4038.6,1
623.7,0
178.1,0
2033.1,0
42.5,0
4227.4,1
1754.8,0
3274.2,0
263.4,0
463.6,0
4054.3,1
430.5,0
1825.6,0
69.0,0
1270.4,0
529.0,0
4936.5,1
4948.9,1
1638.7,0
4646.4,1
1189.5,0
3061.9,0
1141.6,0
15.6,0
1280.8,0
1171.4,0
2223.9,0
4154.1,1
4730.4,1
3117.2,0
4360.0,1
2059.1,0
707.3,0
886.6,0
4587.1,1
709.0,0
3828.0,1
1352.8,0
336.5,0
341.6,0
3350.9,0
320.0,0
3126.5,0
2841.9,0
2829.4,0
4110.2,1
543.3,0
3354.5,0
682.2,0
2373.2,0
4671.0,1
1093.0,0
475.8,0
3436.4,1
636.4,0
3482.7,1
2218.3,0
1042.9,0
2128.8,0
4155.1,1
3309.8,0
2004.2,0
2966.6,0
4506.3,1
3173.9,0
2920.0,0
3620.1,1
182.8,0
630.6,0
4825.6,1
3237.8,0
142.0,0
4633.2,1
4562.7,1
3219.9,0
816.0,0
981.6,0
2122.8,0
1429.2,0
1007.6,0
2481.0,0
4072.3,1
3464.9,1
19.7,0
4094.9,1
1793.1,0
861.6,0
1144.5,0
2751.8,0
2325.0,0
112.2,0
4091.9,1
3851.3,1
2767.0,0
3913.1,1
3668.4,1
2674.3,0
2801.1,0
3676.8,1
4471.1,1
1138.9,0
3196.6,0
363.7,0
3075.2,0
4214.5,1
868.8,0
3921.8,1
1884.0,0
4131.2,1
311.2,0
4165.6,1
4918.8,1
3456.2,1
1249.9,0
4203.4,1
3196.1,0
2828.1,0
1461.1,0
4269.6,1
3885.9,1
2817.5,0
272.4,0
4460.4,1
4652.2,1
4104.7,1
4143.2,1
3378.0,0
4570.8,1
2021.3,0
2038.9,0
4008.2,1
1477.7,0
3551.6,1
1087.8,0
737.8,0
109.9,0
1053.1,0
1110.7,0
868.8,0
3473.0,1
2126.7,0
4340.1,1
3861.9,1
916.8,0
987.8,0
1169.4,0
3002.2,0
3254.6,0
4211.6,1
1235.2,0
4633.6,1
4508.2,1
1960.1,0
4923.7,1
441.6,0
2220.5,0
2640.6,0
2403.7,0
4503.3,1
3386.4,0
91.4,0
736.4,0
3693.0,1
699.7,0
2946.1,0
989.1,0
1606.4,0
2192.4,0
422.9,0
4944.4,1
1852.0,0
3046.6,0
3025.1,0
506.3,0
2620.8,0
4133.6,1
4030.4,1
261.6,0
3715.5,1
700.2,0
2536.1,0
273.7,0
3622.6,1
4456.3,1
1107.1,0
569.1,0
4209.6,1
3339.9,0
3225.9,0
4232.4,1
2074.0,0
26.6,0
4260.1,1
518.9,0
1091.1,0
2475.4,0
4955.6,1
225.2,0
1947.9,0
3565.6,1
4309.4,1
1139.6,0
2328.9,0
1720.5,0
1867.2,0
1316.0,0
2754.6,0
765.3,0
523.3,0
3915.3,1
1867.8,0
2035.4,0
72.2,0
4620.2,1
4051.0,1
2723.0,0
3166.3,0
2690.0,0
1593.8,0
4908.0,1
1656.6,0
1889.7,0
2183.1,0
3550.2,1
2598.5,0
751.3,0
71.9,0
2655.8,0
2812.1,0
2460.0,0
3642.3,1
2232.3,0
601.1,0
424.2,0
2192.3,0
4329.0,1
1360.8,0
1602.1,0
69.8,0
4508.8,1
3997.2,1
260.8,0
1687.6,0
3187.1,0
1173.9,0
2586.5,0
4152.4,1
1880.0,0
387.9,0
2758.4,0
1845.0,0
2945.9,0
4214.1,1
1838.9,0
1869.3,0
1572.6,0
86.1,0
292.5,0
2478.1,0
3702.3,1
18.9,0
2683.9,0
3092.2,0
3870.1,1
1610.0,0
4287.2,1
4788.2,1
2105.3,0
2850.3,0
3549.2,1
1536.2,0
2237.2,0
296.4,0
263.3,0
478.8,0
332.2,0
2613.7,0
820.7,0
3549.8,1
4053.2,1
4405.5,1
2304.9,0
1560.2,0
38.3,0
293.1,0
1332.9,0
3713.4,1
1451.0,0
3793.0,1
859.3,0
757.5,0
2677.7,0
1575.5,0
4990.6,1
262.7,0
190.0,0
3766.6,1
3289.9,0
139.3,0
1080.7,0
1980.9,0
3506.9,1
4902.9,1
4402.2,1
3866.6,1
2944.8,0
3905.9,1
854.3,0
4860.6,1
4905.4,1
4040.4,1
4442.5,1
4769.3,1
253.5,0
3353.7,0
3013.2,0
3236.9,0
294.1,0
4194.9,1
3997.9,1
259.0,0
2080.4,0
111.0,0
3406.8,0
1571.0,0
355.0,0
4775.5,1
1942.3,0
432.3,0
2080.6,0
2512.7,0
4192.1,1
350.0,0
1551.9,0
3504.3,1
4582.8,1
2703.4,0
203.4,0
4058.7,1
4581.6,1
228.2,0
3969.8,1
387.4,0
403.1,0
559.2,0
4044.3,1
3132.5,0
3638.0,1
4416.3,1
2565.2,0
620.7,0
3871.9,1
402.8,0
4956.4,1
4762.0,1
4172.2,1
4483.6,1
493.5,0
3103.7,0
562.2,0
3053.4,0
2430.8,0
2311.5,0
2805.9,0
1491.7,0
713.1,0
493.7,0
3783.9,1
2987.9,0
3499.3,1
2682.9,0
2931.2,0
4052.6,1
4743.8,1
281.6,0
1225.6,0
2601.3,0
2543.9,0
538.6,0
4250.9,1
4450.0,1
381.1,0
2680.5,0
3534.5,1
380.6,0
1046.0,0
458.5,0
1406.1,0
809.1,0
3855.0,1
1688.0,0
4488.4,1
2421.2,0
1036.3,0
1970.2,0
452.2,0
661.5,0
1469.5,0
332.5,0
4472.1,1
4875.3,1
3477.2,1
2878.7,0
1257.1,0
3992.3,1
2774.2,0
1018.4,0
1271.0,0
990.9,0
3454.0,1
4196.9,1
1828.1,0
4652.0,1
1930.8,0
805.5,0
3134.6,0
2317.0,0
4367.0,1
2032.4,0
906.0,0
3213.4,0
4240.2,1
3005.6,0
2576.6,0
2172.0,0
526.3,0
3160.6,0
4630.2,1
1691.7,0
3705.1,1
4254.4,1
4012.8,1
552.5,0
1155.1,0
3762.9,1
2362.6,0
2992.0,0
63.6,0
395.0,0
2341.0,0
868.8,0
4235.0,1
4710.1,1
3894.6,1
623.9,0
4834.5,1
108.1,0
1301.4,0
197.6,0
3652.4,1
2515.6,0
3548.8,1
199.2,0
4872.8,1
1138.5,0
2575.9,0
3498.4,1
422.8,0
3318.3,0
2142.6,0
1020.7,0
148.8,0
3406.8,0
2624.9,0
3169.1,0
4377.0,1
723.6,0
3918.0,1
2588.5,0
598.8,0
256.6,0
2190.2,0
4881.7,1
3225.5,0
4120.2,1
3115.4,0
2624.2,0
2881.5,0
4619.8,1
1164.3,0
3038.9,0
611.2,0
4649.1,1
4755.1,1
2797.1,0
4139.4,1
1175.3,0
126.5,0
3682.1,1
3797.0,1
3850.1,1
1579.2,0
4859.8,1
414.2,0
3340.7,0
1368.5,0
4982.2,1
3608.0,1
1503.6,0
3247.4,0
622.0,0
1021.4,0
1212.0,0
2248.6,0
1211.3,0
2567.6,0
2771.9,0
1749.2,0
3486.3,1
4280.6,1
2673.9,0
334.7,0
1898.2,0
815.1,0
2248.9,0
1611.4,0
4240.2,1
1152.1,0
1624.4,0
403.6,0
1409.3,0
439.2,0
4538.2,1
4433.1,1
2482.0,0
4388.7,1
216.9,0
3092.6,0
1614.2,0
4737.5,1
3669.5,1
3862.9,1
4708.5,1
4063.0,1
2436.8,0
3524.6,1
3366.9,0
4968.4,1
1850.0,0
4678.8,1
4664.9,1
3191.0,0
4113.4,1
1167.0,0
2465.4,0
3655.1,1
2842.6,0
2912.0,0
2811.0,0
636.8,0
1550.5,0
939.4,0
2169.1,0
3049.0,0
3306.0,0
2713.2,0
2108.1,0
4027.0,1
4340.5,1
3495.4,1
4870.0,1
3106.5,0
480.3,0
4458.5,1
4418.7,1
3747.3,1
4015.1,1
3335.9,0
4771.1,1
4840.3,1
3527.4,1
3612.9,1
204.0,0
585.5,0
4776.6,1
192.4,0
4952.2,1
357.3,0
3966.5,1
4504.9,1
1795.6,0
4893.3,1
2108.6,0
4565.1,1
1064.4,0
4340.6,1
2735.0,0
358.6,0
713.8,0
4327.1,1
3905.4,1
53.2,0
3822.0,1
1456.8,0
908.8,0
1369.1,0
4165.2,1
4445.0,1
4764.6,1
2756.9,0
436.1,0
1672.8,0
1126.6,0
1650.5,0
2431.0,0
3318.8,0
2182.7,0
4344.5,1
3809.3,1
124.5,0
4350.6,1
2069.5,0
1457.5,0
803.7,0
4401.4,1
3229.0,0
3912.7,1
1586.1,0
744.6,0
94.4,0
465.0,0
466.2,0
2201.1,0
3524.6,1
3282.5,0
497.0,0
41.9,0
2295.5,0
3068.2,0
2489.0,0
3132.7,0
367.7,0
1373.3,0
669.8,0
1914.0,0
714.1,0
3038.1,0
3713.0,1
1793.7,0
2200.5,0
4855.1,1
861.6,0
374.1,0
4280.0,1
1086.8,0
2477.2,0
4983.2,1
2552.1,0
1451.2,0
787.7,0
2253.7,0
2931.6,0
1336.2,0
721.6,0
4998.6,1
4229.9,1
180.9,0
3325.6,0
4381.4,1
3571.6,1
220.3,0
683.8,0
827.3,0
1289.0,0
1810.6,0
4256.9,1
4076.4,1
3164.3,0
4712.2,1
452.4,0
2707.7,0
4830.7,1
4542.1,1
394.3,0
916.5,0
2650.1,0
1730.2,0
4198.3,1
861.3,0
839.9,0
4056.0,1
839.1,0
3100.1,0
3826.6,1
702.7,0
156.2,0
4021.7,1
124.0,0
1254.0,0
4567.2,1
1588.1,0
2584.9,0
643.0,0
1726.5,0
3089.8,0
3088.4,0
2157.2,0
2837.5,0
271.5,0
2835.8,0
685.6,0
4236.0,1
1363.4,0
4260.1,1
3162.5,0
828.9,0
2404.4,0
1289.7,0
2006.4,0
4712.7,1
3796.6,1
4817.5,1
2280.4,0
4701.9,1
4400.7,1
2691.0,0
544.2,0
1252.1,0
3167.7,0
602.3,0
