quant_saved,female,highschool_completed,wealthy
13.0908,1,0,0
39.2724,0,1,1
294.543,0,1,1
58.9086,1,1,1
78.5448,1,1,1
39.2724,1,1,1
32.727,1,1,1
654.54,0,1,1
2.284,0,1,1
52.3632,1,0,0
58.9086,0,1,1
39.2724,1,1,1
58.9086,1,1,1
80.23920623,1,1,1
78.5448,1,1,0
46.15233243,1,1,0
39.2724,1,1,1
2.284,0,1,1
39.2724,1,1,1
39.2724,1,1,1
104.7264,1,1,1
2.284,1,1,0
81.8175,1,1,1
98.181,1,1,1
39.2724,1,1,0
2.284,1,1,1
2.284,1,1,1
45.8178,1,1,1
47.17807761,0,0,0
98.181,0,0,0
39.2724,0,1,1
2.284,1,1,1
39.2724,1,1,1
78.99602102,1,1,1
2.284,1,1,1
6.5454,1,1,1
26.1816,1,1,0
65.454,0,1,1
39.2724,1,0,0
39.2724,1,1,0
13.0908,1,1,1
39.2724,0,1,1
39.2724,0,1,0
39.2724,1,0,0
39.2724,1,1,0
98.181,0,1,0
19.6362,0,1,1
236.7971349,1,1,1
2.284,1,1,1
32.727,1,0,1
2.284,1,0,1
39.2724,1,1,0
2.284,1,1,1
2.284,1,1,1
2.284,1,1,1
19.6362,1,1,1
46.57761312,1,0,0
2.284,1,1,0
78.5448,1,0,0
196.362,0,1,1
98.181,0,1,1
65.454,1,1,1
196.362,1,1,1
196.362,0,1,1
2.284,1,0,0
2.284,1,0,1
8.47364,0,1,1
45.86020793,1,1,0
13.0908,0,1,1
46.34555793,1,0,0
2.284,1,0,1
39.2724,1,1,1
39.2724,1,1,0
78.5448,0,1,1
13.0908,1,0,0
2.284,1,1,0
19.6362,0,1,1
196.362,0,1,1
78.5448,1,1,1
98.181,1,1,0
98.181,0,1,1
13.0908,0,1,1
6.5454,1,1,1
78.5448,0,0,1
39.2724,1,1,1
114.4729425,1,0,1
68.56362239,1,1,1
9.38724,1,0,1
26.1816,1,1,1
39.2724,1,1,1
2.284,1,0,1
49.0905,1,1,0
2.284,1,0,1
490.905,0,1,1
52.3632,1,0,0
2.284,1,1,1
39.2724,1,1,0
6.5454,0,1,1
2.284,0,1,1
98.181,1,0,0
2.284,1,1,0
196.362,1,1,1
39.2724,0,1,1
209.4528,1,1,1
2.284,1,1,1
78.5448,1,1,1
196.362,1,1,0
32.727,1,1,1
39.2724,1,0,0
392.724,0,1,0
94.46989797,0,1,1
39.2724,0,1,0
68.7267,0,1,1
39.2724,1,1,1
117.8172,1,1,0
2.284,1,0,0
