quant_saved,female,highschool_completed,rem_any,wealthy,age
13.0908,1,0,1,0,28
39.2724,0,1,1,1,0
294.543,0,1,1,1,0
58.9086,1,1,1,1,0
78.5448,1,1,1,1,0
39.2724,1,1,1,1,43
32.727,1,1,1,1,52
654.54,0,1,1,1,52
2.284,0,1,1,1,34
52.3632,1,0,1,0,46
58.9086,0,1,1,1,0
39.2724,1,1,0,1,26
58.9086,1,1,0,1,0
80.23920623,1,1,1,1,27
78.5448,1,1,0,0,32
46.15233243,1,1,1,0,39
39.2724,1,1,1,1,76
2.284,0,1,1,1,23
39.2724,1,1,1,1,56
39.2724,1,1,1,1,32
104.7264,1,1,1,1,38
2.284,1,1,1,0,33
81.8175,1,1,1,1,70
98.181,1,1,1,1,49
39.2724,1,1,1,0,36
2.284,1,1,1,1,45
2.284,1,1,1,1,46
45.8178,1,1,1,1,41
47.17807761,0,0,1,0,28
98.181,0,0,1,0,32
39.2724,0,1,1,1,29
2.284,1,1,0,1,29
39.2724,1,1,1,1,53
78.99602102,1,1,1,1,46
2.284,1,1,0,1,28
6.5454,1,1,1,1,55
26.1816,1,1,1,0,56
65.454,0,1,1,1,33
39.2724,1,0,1,0,21
39.2724,1,1,1,0,39
13.0908,1,1,1,1,36
39.2724,0,1,1,1,27
39.2724,0,1,1,0,22
39.2724,1,0,1,0,32
39.2724,1,1,1,0,19
98.181,0,1,1,0,25
19.6362,0,1,0,1,21
236.7971349,1,1,1,1,21
2.284,1,1,0,1,32
32.727,1,0,1,1,39
2.284,1,0,0,1,35
39.2724,1,1,1,0,46
2.284,1,1,0,1,34
2.284,1,1,1,1,24
2.284,1,1,0,1,28
19.6362,1,1,1,1,24
46.57761312,1,0,1,0,20
2.284,1,1,1,0,34
78.5448,1,0,1,0,31
196.362,0,1,1,1,20
98.181,0,1,0,1,26
65.454,1,1,1,1,24
196.362,1,1,1,1,20
196.362,0,1,1,1,63
2.284,1,0,1,0,36
2.284,1,0,1,1,19
8.47364,0,1,0,1,36
45.86020793,1,1,1,0,23
13.0908,0,1,1,1,64
46.34555793,1,0,0,0,33
2.284,1,0,1,1,23
39.2724,1,1,1,1,0
39.2724,1,1,1,0,48
78.5448,0,1,1,1,33
13.0908,1,0,1,0,27
2.284,1,1,1,0,20
19.6362,0,1,1,1,19
196.362,0,1,1,1,31
78.5448,1,1,1,1,30
98.181,1,1,1,0,23
98.181,0,1,1,1,0
13.0908,0,1,1,1,29
6.5454,1,1,1,1,31
78.5448,0,0,1,1,36
39.2724,1,1,1,1,22
114.4729425,1,0,0,1,29
68.56362239,1,1,0,1,38
9.38724,1,0,1,1,27
26.1816,1,1,1,1,25
39.2724,1,1,1,1,56
2.284,1,0,1,1,24
49.0905,1,1,1,0,38
2.284,1,0,1,1,26
490.905,0,1,1,1,23
52.3632,1,0,1,0,36
2.284,1,1,1,1,19
39.2724,1,1,1,0,66
6.5454,0,1,1,1,30
2.284,0,1,1,1,23
98.181,1,0,1,0,39
2.284,1,1,1,0,33
196.362,1,1,1,1,61
39.2724,0,1,1,1,52
209.4528,1,1,1,1,50
2.284,1,1,1,1,24
78.5448,1,1,1,1,53
196.362,1,1,0,0,66
32.727,1,1,1,1,31
39.2724,1,0,1,0,30
392.724,0,1,1,0,36
94.46989797,0,1,1,1,28
39.2724,0,1,1,0,53
68.7267,0,1,1,1,26
39.2724,1,1,1,1,49
117.8172,1,1,1,0,42
2.284,1,0,1,0,34
39.2724,1,0,1,0,31
39.54426207,1,1,1,1,20
39.2724,1,1,1,1,58
39.2724,1,1,0,1,63
294.543,1,0,1,0,37
2.284,1,0,1,0,29
58.9086,1,0,0,1,32
196.362,1,1,1,1,0
39.2724,1,0,1,0,23
6.852,1,1,1,1,24
2.284,0,1,0,1,57
2.284,1,1,1,1,27
39.2724,1,1,1,1,0
274.9068,0,1,1,1,0
39.2724,1,1,1,1,38
39.2724,0,1,0,1,22
52.3632,1,0,1,1,53
2.284,1,1,0,1,30
57.1,1,0,1,0,61
